ESTADO;Fecha;PIB anual M$;Var. PIB (%);PIB Per Capita;Var. anual PIB Per Capita;Densidad;Poblacion;PIB Per Capita $
California;2023;3862171;2,10%;99.119 $;6,30%;92;38965193;99118
California;2022;3641643;0,70%;93.278 $;6,90%;92;39040616;93278
California;2021;3416939;7,60%;87.289 $;12,40%;92;39145060;87289
California;2020;3068809;-1,30%;77.685 $;0,30%;93;39503200;77685
California;2019;3062159;3,90%;77.429 $;5,60%;93;39547996;77429
Alabama;2023;300152;2,50%;58.756 $;5,90%;38;5108468;58756
Alabama;2022;281569;1,70%;55.494 $;8,60%;37;5073903;55494
Alabama;2021;257987;4,40%;51.083 $;9,30%;37;5050380;51083
Alabama;2020;235118;-1,30%;46.726 $;-0,30%;37;5031864;46726
Alabama;2019;234526;1,90%;46.873 $;3,10%;37;5003418;46873
Alaska;2023;67337;5,40%;91.906 $;2,50%;0;732673;91906
Alaska;2022;65699;-1,40%;89.670 $;12,00%;0;732673;89670
Alaska;2021;58646;1,40%;80.044 $;14,40%;0;732673;80044
Alaska;2020;51262;-3,80%;69.987 $;-5,60%;0;732441;69988
Alaska;2019;54470;-0,30%;74.127 $;-0,10%;0;734823;74127
Arizona;2023;508345;2,70%;68.405 $;5,90%;25;7431344;68406
Arizona;2022;475654;3,20%;64.577 $;8,60%;25;7365684;64577
Arizona;2021;432280;7,80%;59.440 $;10,50%;25;7272487;59440
Arizona;2020;386444;0,80%;53.772 $;1,20%;24;7186683;53772
Arizona;2019;375545;3,80%;53.114 $;4,70%;24;7070511;53114
Arkansas;2023;176240;2,50%;57.450 $;5,40%;22;3067732;57450
Arkansas;2022;165989;1,30%;54.487 $;8,60%;22;3046404;54487
Arkansas;2021;151932;5,90%;50.168 $;11,30%;22;3028443;50168
Arkansas;2020;135885;0,70%;45.079 $;2,10%;22;3014348;45079
Arkansas;2019;132637;0,70%;44.150 $;2,40%;22;3004248;44150
Carolina del Norte;2023;766919;2,70%;70.778 $;5,70%;78;10835491;70778
Carolina del Norte;2022;715968;2,00%;66.938 $;7,30%;77;10695965;66938
Carolina del Norte;2021;659529;5,80%;62.413 $;8,50%;76;10567100;62413
Carolina del Norte;2020;601149;-0,70%;57.505 $;0,60%;75;10453812;57505
Carolina del Norte;2019;593127;2,10%;57.193 $;3,50%;74;10370550;57193
Carolina del Sur;2023;322259;3,60%;59.971 $;6,50%;65;5373555;59971
Carolina del Sur;2022;297546;2,50%;56.322 $;7,80%;64;5282955;56322
Carolina del Sur;2021;271495;4,80%;52.272 $;7,50%;63;5193848;52272
Carolina del Sur;2020;249482;-1,60%;48.612 $;-0,50%;62;5132151;48612
Carolina del Sur;2019;248047;2,50%;48.852 $;3,70%;61;5077543;48852
Colorado;2023;520389;2,90%;88.538 $;5,30%;22;5877610;88538
Colorado;2022;491289;2,30%;84.110 $;9,30%;22;5841039;84110
Colorado;2021;447052;6,80%;76.924 $;11,90%;22;5811596;76924
Colorado;2020;397612;-0,70%;68.729 $;-0,90%;21;5785219;68729
Colorado;2019;397702;5,00%;69.335 $;5,30%;21;5735934;69335
Connecticut;2023;340181;2,10%;94.046 $;6,30%;252;3617176;94046
Connecticut;2022;319345;2,90%;88.493 $;7,80%;251;3608706;88493
Connecticut;2021;295908;4,00%;82.112 $;6,50%;251;3603691;82112
Connecticut;2020;275802;-5,70%;77.092 $;-2,60%;249;3577586;77092
Connecticut;2019;285466;-0,10%;79.139 $;1,90%;251;3607159;79139
Dakota del Norte;2023;74113;5,90%;94.540 $;1,40%;4;783926;94541
Dakota del Norte;2022;72651;-1,10%;93.273 $;14,80%;4;778912;93272
Dakota del Norte;2021;63209;-0,50%;81.247 $;14,40%;4;777982;81247
Dakota del Norte;2020;55348;-5,80%;70.998 $;-8,90%;4;779563;70999
Dakota del Norte;2019;60516;1,10%;77.933 $;-0,40%;4;776516;77933
Dakota del Sur;2023;72421;2,50%;78.777 $;4,20%;5;919318;78777
Dakota del Sur;2022;68782;-0,30%;75.595 $;8,20%;5;909869;75595
Dakota del Sur;2021;62607;4,70%;69.851 $;10,40%;4;896299;69851
Dakota del Sur;2020;56163;0,60%;63.257 $;1,50%;4;887852;63257
Dakota del Sur;2019;55007;0,80%;62.331 $;2,30%;4;882507;62330
Delaware;2023;93595;-1,20%;90.703 $;2,50%;160;1031890;90702
Delaware;2022;90208;1,00%;88.486 $;7,20%;158;1019459;88486
Delaware;2021;82953;2,60%;82.550 $;5,50%;156;1004881;82550
Delaware;2020;77615;-2,70%;78.252 $;-2,40%;154;991862;78252
Delaware;2019;78686;5,30%;80.186 $;6,10%;152;981297;80186
Florida;2023;1579503;5,00%;69.856 $;8,00%;133;22610726;69856
Florida;2022;1439065;4,60%;64.690 $;9,30%;131;22245521;64690
Florida;2021;1292391;9,00%;59.201 $;12,10%;128;21830708;59201
Florida;2020;1140133;-1,00%;52.805 $;0,00%;127;21591299;52805
Florida;2019;1127989;2,80%;52.822 $;4,10%;125;21354519;52822
Georgia;2023;805397;0,80%;73.024 $;3,90%;72;11029227;73024
Georgia;2022;767378;2,60%;70.317 $;8,10%;71;10913150;70317
Georgia;2021;701606;6,10%;65.021 $;9,40%;70;10790385;65021
Georgia;2020;637931;-3,00%;59.440 $;-2,20%;70;10732390;59440
Georgia;2019;646939;3,30%;60.786 $;4,50%;69;10642947;60786
Hawai;2023;108023;2,00%;74.935 $;6,90%;51;1441553;74935
Hawai;2022;101083;1,30%;70.121 $;8,60%;51;1441553;70121
Hawai;2021;93090;5,70%;64.576 $;10,80%;51;1441553;64576
Hawai;2020;84615;-10,50%;58.279 $;-9,00%;51;1451911;58278
Hawai;2019;93356;0,10%;64.073 $;2,90%;51;1457034;64073
Idaho;2023;118791;3,50%;60.462 $;5,70%;9;1964726;60462
Idaho;2022;110871;4,20%;57.180 $;10,20%;9;1938996;57180
